,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_vect__ngram_range,param_vect__min_df,param_vect__max_df,param_tfidf__use_idf,param_clf__weights,param_clf__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,3.5572029749552407,0.09269713934093608,5.869590202967326,0.05298248346863577,"(1, 1)",0.05,0.9,False,distance,5,"{'vect__ngram_range': (1, 1), 'vect__min_df': 0.05, 'vect__max_df': 0.9, 'tfidf__use_idf': False, 'clf__weights': 'distance', 'clf__n_neighbors': 5}",0.2826582500438366,0.30247238295633877,0.28458705944239876,0.28990589748085804,0.0089206686718017,26,0.9960547080483956,0.9942135718043135,0.9945642644222339,0.994944181424981,0.0007982056393563594
1,82.19343908627827,21.19976885414843,18.95306674639384,7.823778104496144,"(1, 4)",0.0,0.9,True,distance,6,"{'vect__ngram_range': (1, 4), 'vect__min_df': 0.0, 'vect__max_df': 0.9, 'tfidf__use_idf': True, 'clf__weights': 'distance', 'clf__n_neighbors': 6}",0.6209012800280554,0.6201998947922146,0.6051201122216378,0.6154070956806359,0.007279629424017889,1,0.9977204979835175,0.9961423812028757,0.9964930738207961,0.9967853176690631,0.0006765934246765062
2,25.521885951360066,9.640994586866308,13.179604768753052,4.6414042285818,"(1, 2)",0.01,0.8,False,uniform,5,"{'vect__ngram_range': (1, 2), 'vect__min_df': 0.01, 'vect__max_df': 0.8, 'tfidf__use_idf': False, 'clf__weights': 'uniform', 'clf__n_neighbors': 5}",0.23075574259161843,0.2481150271786779,0.23952305803962826,0.23946460926997487,0.007087018768501347,45,0.29914080308609503,0.35910924075048223,0.31220410310362967,0.32348471564673564,0.025748689850005092
3,3.3948209285736084,0.1734134540148596,5.469965537389119,0.14728488523025474,"(1, 1)",0.05,1.0,True,distance,1,"{'vect__ngram_range': (1, 1), 'vect__min_df': 0.05, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'clf__weights': 'distance', 'clf__n_neighbors': 1}",0.36594774679992986,0.37716991057338245,0.36068735753112396,0.3679350049681454,0.006874131943650326,6,0.9978081711379976,0.9964930738207961,0.9965807469752762,0.9969606639780233,0.0006003459753397075
4,32.70681230227152,3.828990255762612,12.022873481114706,5.707268297899445,"(1, 3)",0.1,1.0,True,distance,5,"{'vect__ngram_range': (1, 3), 'vect__min_df': 0.1, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'clf__weights': 'distance', 'clf__n_neighbors': 5}",0.281255479572155,0.3065053480624233,0.2868665614588813,0.2915424630311532,0.01082549479482399,24,0.9955286691215149,0.992898474487112,0.9936875328774329,0.9940382254953533,0.0011020344634382316
5,55.633518060048424,15.551100174828314,8.519456068674723,0.2514764879931443,"(1, 4)",0.1,0.9,False,distance,1,"{'vect__ngram_range': (1, 4), 'vect__min_df': 0.1, 'vect__max_df': 0.9, 'tfidf__use_idf': False, 'clf__weights': 'distance', 'clf__n_neighbors': 1}",0.3152726635104331,0.33070313869893037,0.32298790110468173,0.32298790110468173,0.006299465116749066,14,0.9964930738207961,0.9949149570401543,0.9947396107311941,0.9953825471973815,0.0007885170122878196
6,3.3156751791636148,0.03403399578735767,5.075875838597615,0.042896648474444424,"(1, 1)",0.05,0.7,False,distance,9,"{'vect__ngram_range': (1, 1), 'vect__min_df': 0.05, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'clf__weights': 'distance', 'clf__n_neighbors': 9}",0.2779238997019113,0.2921269507276872,0.2780992460108715,0.28271669881349,0.006654437987714441,28,0.9950026301946344,0.992898474487112,0.9936875328774329,0.993862879186393,0.0008679199488525302
7,13.0860489209493,0.2108173338845065,7.391931533813477,0.06844916126656005,"(1, 2)",0.05,1.0,True,distance,4,"{'vect__ngram_range': (1, 2), 'vect__min_df': 0.05, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'clf__weights': 'distance', 'clf__n_neighbors': 4}",0.291951604418727,0.3117657373312292,0.293705067508329,0.29914080308609503,0.008955831683773424,18,0.996405400666316,0.9944765912677538,0.9950903033491145,0.9953240984277282,0.0008045999122062384
8,29.587316672007244,0.8996884719031724,8.617345809936523,0.29341879365840096,"(1, 3)",0.05,1.0,True,distance,5,"{'vect__ngram_range': (1, 3), 'vect__min_df': 0.05, 'vect__max_df': 1.0, 'tfidf__use_idf': True, 'clf__weights': 'distance', 'clf__n_neighbors': 5}",0.2614413466596528,0.2742416272137472,0.2574083815535683,0.2643637851423227,0.0071761189546869185,38,0.996405400666316,0.9943889181132737,0.9951779765035946,0.995324098427728,0.0008296843513109347
9,52.81977462768555,4.772485493008169,10.803697188695272,1.6915231596916636,"(1, 4)",0.1,0.7,False,distance,5,"{'vect__ngram_range': (1, 4), 'vect__min_df': 0.1, 'vect__max_df': 0.7, 'tfidf__use_idf': False, 'clf__weights': 'distance', 'clf__n_neighbors': 5}",0.2840610205155181,0.2996668420129756,0.2954585305979309,0.29306213104214157,0.006592544489844426,22,0.992898474487112,0.9904436261616693,0.9912326845519902,0.9915249284002572,0.0010232708749787478
10,64.22414231300354,13.353590695099353,18.16780114173889,8.400732777949184,"(1, 4)",0.0,0.9,False,distance,5,"{'vect__ngram_range': (1, 4), 'vect__min_df': 0.0, 'vect__max_df': 0.9, 'tfidf__use_idf': False, 'clf__weights': 'distance', 'clf__n_neighbors': 5}",0.27441697352270733,0.30159565141153777,0.25372610906540416,0.2765795779998831,0.019602396362019877,30,0.997369805365597,0.9957040154304752,0.9963177275118359,0.9964638494359694,0.000687860324737857
